Year,Type,Country,Area,Activity,Injury,Fatal
2017,Unprovoked,Australia,Victoria,Surfing,No injury,N
2017,Unprovoked,Usa,Florida,Wading,Injury,N
2017,No Data,Spain,Castellón,Swimming,Injury,No Data
2017,Unprovoked,New Zealand,North Island,Canoeing,No injury,N
2017,Unprovoked,Usa,Massachusetts,Sup,Injury,N
2017,Unprovoked,Bahamas,No Data,Diving,Injury,N
2017,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2017,Unprovoked,Egypt,Red Sea Protectorate,Swimming,Bite to right leg/hip,N
2017,Provoked,Usa,Massachusetts,Fishing,Injury,N
2017,Boat,Usa,California,Fishing,No injury,N
2017,Unprovoked,Usa,Florida,Skimboarding,Injury,N
2017,No Data,Usa,South Carolina,Swimming,Abrasions and cuts to sole of foot,No Data
2017,Unprovoked,Bahamas,New Providence District,Swimming,Injury,N
2017,Unprovoked,Bahamas,40 Miles Off Grand Bahama Island,Diving,Injury,N
2017,Unprovoked,"St Helena, British Overseas Territory",Ascension Island,Surfing,Injury,N
2017,Unprovoked,Spain,Majorca,Swimming,Abrasion to arm from shark's rough skin,N
2017,No Data,Usa,South Carolina,Swimming,Injury,No Data
2017,Boat,Usa,California,Boating,No injury,N
2017,Unprovoked,Usa,California,Sup,No injury,N
2017,Unprovoked,Usa,Washington,Surfing,Pulled off board by shark but no injury,N
2017,Unprovoked,Australia,Western Australia,Surfing,Injury,N
2017,Boat,Usa,California,Boating,No injury,N
2017,Unprovoked,Usa,Florida,Swimming,Injury,N
2017,Provoked,Mexico,Tabasco,Fishing,Injury,N
2017,Unprovoked,South Africa,Eastern Cape Province,Surfing,No injury,N
2017,No Data,Comoros,Anjouan,Fishing,"Skull found in shark, a probable drowning & scavenging",No Data
2017,No Data,Usa,South Carolina,Fishing,Injury,No Data
2017,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2017,Unprovoked,Usa,Florida,Surfing,Injury,N
2017,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2017,Unprovoked,Reunion,No Data,Surfing,No injury,N
2017,Unprovoked,Spain,Ibiza Island,Swimming,Injury,N
2017,Unprovoked,French Polynesia,Marquesas,Surfing,Injuries to hand and wrist,N
2017,Unprovoked,Bahamas,No Data,Feeding Sharks,Fingernail pulled off ,N
2017,Unprovoked,Australia,Western Australia,Surfing,No injury,N
2017,Unprovoked,Australia,Victoria,Surfing,No injury,N
2017,Unprovoked,Usa,Florida,Surfing,Injury,N
2017,Unprovoked,United Kingdom,South Devon,Surfing,"Bruise to leg, cuts to hand sustained when he hit the shark",N
2017,Unprovoked,Usa,Florida,Diving,Injury,N
2017,Unprovoked,Bahamas,New Providence,Swimming,Injury,N
2017,Provoked,Usa,South Carolina,Touching A Shark,Injury,N
2017,Unprovoked,Usa,Florida,Feeding Sharks,Injury,N
2017,No Data,Australia,New South Wales,Fishing,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N
2017,Unprovoked,United Arab Emirates,"Sharjah,",Diving,Injury,N
2017,Provoked,Australia,Queensland,Attempting To Lasso A Shark,Thigh nipped PROVOKED INCIDENT,N
2017,Unprovoked,Mexico,Baja California Sur,Swimming,Fatal,Y
2017,No Data,Usa,California,Surfing,Injury,No Data
2017,Unprovoked,Usa,California,Swimming,Major injury to posterior thigh,N
