Year,Type,Country,Area,Activity,Injury,Fatal
2011,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2011,No Data,South Africa,Kwazulu-Natal,Surfing,No injury,No Data
2011,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2011,Unprovoked,Usa,Oregon,Surfing,Injury,N
2011,No Data,Australia,Queensland,Diving,Killed by a shark or crocodile.,No Data
2011,Unprovoked,Australia,New South Wales,Surfing,Torn shoulder ligament as result of collision with shark,N
2011,Unprovoked,Indonesia,Bali,Surfing,Injury,N
2011,Unprovoked,Australia,Queensland,Swimming,Puncture marks to foot,N
2011,Boat,Usa,California,Boating,No injury,N
2011,Unprovoked,Papua New Guinea,East New Britain,Diving,No injury,N
2011,Unprovoked,Brazil,Pernambuco,Surfing,Injury,N
2011,Unprovoked,Reunion,Bois-Blanc,Diving,Injury,N
2011,Unprovoked,Usa,California,Surfing,Injury,N
2011,Unprovoked,Scotland,Moray,Surfing,No injury,N
2011,Provoked,South Africa,Kwazulu-Natal,Diving,Injury,N
2011,Unprovoked,Australia,Western Australia,Diving,Fatal,Y
2011,Unprovoked,Usa,Oregon,Surfing,No injury,N
2011,Unprovoked,Australia,Victoria,Diving,Small bruise to calf,N
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,Unprovoked,Usa,Oregon,Surfing,No injury,N
2011,Unprovoked,Australia,Western Australia,Swimming,Fatal,Y
2011,Boat,Reunion,No Data,Canoeing,No injury,N
2011,Unprovoked,Usa,Florida,Fishing,Injury,N
2011,No Data,Usa,Puerto Rico,Surfing,Injury,No Data
2011,Provoked,Dominican Republic,Samaná Province,Fishing,Severe injuries to left arm PROVOKED INCIDENT,N
2011,Unprovoked,South Africa,Western Cape Province,Swimming,Injury,N
2011,Unprovoked,Usa,Florida,Diving,Injury,N
2011,Unprovoked,Usa,South Carolina,Jumping In The Waves,Injury,N
2011,Boat,Usa,Hawaii,Canoeing,No injury,N
2011,Unprovoked,Reunion,Saint-Gilles,Surfing,Fatal,Y
2011,Unprovoked,Kenya,Coast Province,Swimming,Fatal,Y
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,Unprovoked,Usa,California,Surfing,No injury,N
2011,Unprovoked,Papua New Guinea,Central Province,Surfing,Injury,N
2011,Unprovoked,Usa,Hawaii,Surfing,No injury,N
2011,Unprovoked,Australia,Western Australia,Surfing,Fatal,Y
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,No Data,Australia,Queensland,Swimming,Fatal,No Data
2011,Unprovoked,Usa,Texas,Fishing,Injury,N
2011,Unprovoked,Russia,Primorsky Krai,Wading,Injury,N
2011,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2011,Unprovoked,South Africa,Western Cape Province,Surfing,Fatal,Y
2011,Unprovoked,Russia,"Peter The Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,Injury,N
2011,Unprovoked,Usa,North Carolina,Wading,Injury,N
2011,Unprovoked,Russia,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,Injury,N
2011,Unprovoked,French Polynesia,Society Islands,Surfing,No injury,N
2011,Unprovoked,Usa,Puerto Rico,Swimming,Injury,N
2011,Unprovoked,Seychelles,Praslin,Swimming,Fatal,Y
2011,No Data,Usa,South Carolina,Surfing,Injury,N
2011,Unprovoked,Usa,North Carolina,Swimming,Injury,N
2011,Unprovoked,Seychelles,Praslin,Diving,Fatal,Y
2011,No Data,Brazil,Pernambuco,Swimming,Cause of death may have been drowning; remains scavenged by sharks,No Data
2011,Sea Disaster,Philippines,No Data,Sea Disaster,Injury,N
2011,Unprovoked,Usa,New Jersey,Fishing,No injury,N
2011,Unprovoked,South Africa,Eastern Cape Province,Surfing,Injury,N
2011,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2011,Boat,Reunion,Saint-Gilles,Boating,No injury,N
2011,Unprovoked,Usa,Texas,Surfing,Injury,N
2011,Unprovoked,Bahamas,Grand Bahama Island,Diving,Injuries to arm,N
2011,Unprovoked,Usa,Texas,Swimming,Injury,N
2011,Unprovoked,Usa,Texas,Fishing,Injury,N
2011,Unprovoked,Reunion,Saint-Gilles,Surfing,Injury,N
2011,Unprovoked,Columbia,Sucre,Boating,Injury,N
2011,Unprovoked,Turks & Caicos,Middle Caicos,Swimming,Injury,N
2011,Unprovoked,Brazil,Pernambuco,Surfing,Injury,N
2011,Unprovoked,South Africa,Kwazulu-Natal,Diving,Injury,N
2011,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2011,Unprovoked,Usa,California,Surfing,Injury,N
2011,Unprovoked,Usa,Florida,Jet Skiing,Injury,N
2011,Unprovoked,Turks & Caicos,Caicos Bank,Diving,Injury,N
2011,Unprovoked,Costa Rica,Guanacaste,Surfing,Fatal,Y
2011,Unprovoked,Reunion,Saint-Gilles-Les-Bains,Surfing,Fatal,Y
2011,Boat,United Kingdom,Cornwall,Fishing,No injury,N
2011,Unprovoked,Usa,Florida,Diving,Injury,N
2011,Unprovoked,Columbia,San Andrés Archipelago,Diving,Injuries to right hand and forearm,N
2011,Unprovoked,Usa,California,Diving,No injury,N
2011,Unprovoked,Usa,Florida,Wading,Puncture wound to calf,N
2011,Unprovoked,Malaysia,Kedah,Swimming,Injury,N
2011,Unprovoked,Usa,Texas,Wading,Injury,N
2011,Unprovoked,South Africa,Western Cape Province,Surfing,No injury,N
2011,Unprovoked,Usa,Hawaii,Surfing,No injury,N
2011,Unprovoked,Usa,Hawaii,Boating,No injury,N
2011,Unprovoked,South Africa,Kwazulu-Natal,Diving,Injury,Y
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,Unprovoked,New Caledonia,North Province,Kite Boarding,Injury,Y
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,Provoked,Usa,Florida,Fishing,Injury,N
2011,No Data,United Arab Emirates (Uae),Umm Al Qaywayan Province,Fishing,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",No Data
2011,Unprovoked,South Africa,Kwazulu-Natal,Diving,Injury,N
2011,Unprovoked,Usa,Florida,Diving,Injury,N
2011,Unprovoked,Australia,Western Australia,Washing Sand Off A Speared Fish,Injury,N
2011,Unprovoked,Usa,Florida,Surfing,Injury,N
2011,Unprovoked,New Zealand,South Island,Surfing,Puncture to left hand,N
2011,Unprovoked,Indonesia,Bali,Surfing,Injury,N
2011,Unprovoked,Fiji,Vitu Levu,Diving,Injury,N
2011,Provoked,Usa,Texas,Wading,Injury,N
2011,Unprovoked,Mexico,Quintana Roo,Swimming,Injury,N
2011,Unprovoked,Australia,New South Wales,Surfing,Severe injury to left forearm,N
2011,Unprovoked,Mexico,Quintana Roo,Swimming,Injury,N
2011,Unprovoked,Fiji,No Data,Diving,Injury,N
2011,Unprovoked,Australia,New South Wales,Wakeboarding,"Severe injuries to head, neck, shoulder & upper left arm",N
2011,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2011,Provoked,Australia,Queensland,Fishing,Injury,N
2011,Unprovoked,New Caledonia,Loyalty Islands,Diving,Injury,N
2011,Unprovoked,Reunion,Saint Gilles,Surfing,Injury,N
2011,Unprovoked,Australia,South Australia,Diving,Fatal,Y
2011,Provoked,Australia,Queensland,Fishing,Injury,N
2011,Unprovoked,Australia,Western Australia,Swimming,Injury,N
2011,Provoked,Mexico,Colima,Fishing,Injury,N
2011,Unprovoked,South Africa,Eastern Cape Province,Surfing,Injury,N
2011,Unprovoked,Mexico,Quintana Roo,Swimming,Injury,N
2011,Provoked,Mexico,Colima,Fishing,Injury,N
2011,Unprovoked,Bahamas,West End,Diving,Injury,N
2011,No Data,Australia,New South Wales,Swimming,Injury,No Data
2011,Unprovoked,South Africa,Eastern Cape Province,Surfing,Fatal,Y
2011,Unprovoked,Mexico,Quintana Roo,Attempting To Fix Motor,Bitten on leg and groin,N
2011,Boat,Australia,Western Australia,Fishing,No injury,N
2010,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2010,Unprovoked,Fiji,Vitu Levu,Surfing,Injury,N
2010,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2010,Unprovoked,Egypt,South Sinai Peninsula,Swimming,Fatal,Y
2010,Unprovoked,Indonesia,Bali,Surfing,Injury,N
2010,Unprovoked,Egypt,South Sinai Peninsula,Swimming,Injury,N
2010,Unprovoked,Egypt,South Sinai Peninsula,Swimming,Injury,N
2010,Unprovoked,Egypt,South Sinai Peninsula,Swimming,Injury,N
2010,Unprovoked,Egypt,South Sinai Peninsula,Swimming,Injury,N
2010,Unprovoked,Samoa,No Data,Fishing,Injury,N
2010,No Data,Australia,Western Australia,Swimming,Death may have been due to drowning,No Data
2010,Provoked,Usa,Palmyra Atoll,Swimming,Injury,N
2010,Unprovoked,Dominican Republic,No Data,Diving,Fatal,Y
2010,Unprovoked,Indonesia,Bali,Surfing,Injury,N
2010,Boat,Australia,Western Australia,Fishing,No injury,N
2010,Unprovoked,Australia,Western Australia,Swimming,Injury,N
2010,Unprovoked,Australia,Western Australia,Diving,No injury,N
2010,Unprovoked,Usa,Oregon,Surfing,No injury,N
2010,Provoked,Azores,No Data,Fishing,PROVOKED INCIDENT?  ,N
2010,Unprovoked,Usa,Maine,Diving,No injury,N
2010,Unprovoked,Australia,Western Australia,Surfing,Injury,N
2010,Unprovoked,Usa,California,Surfing,Fatal,Y
2010,Unprovoked,Egypt,South Sinai Peninsula,Swimming,Injury,N
2010,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2010,Unprovoked,Bahamas,Exuma Islands,Swimming,Injury,N
2010,Unprovoked,Bahamas,Abaco Islands,Surfing,Bitten between left ankle & knee,N
2010,Unprovoked,South Africa,Western Cape Province,Surfing,Injury,N
2010,Unprovoked,Usa,Oregon,Surfing,No injury,N
2010,Unprovoked,Usa,Virginia,Surfing,Bite to left ankle and knee,N
2010,Unprovoked,South Africa,Western Cape Province,Swimming,Fatal,Y
2010,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2010,Unprovoked,Usa,Florida,Swimming,Injury,N
2010,Unprovoked,Tonga,Ha'Api,Swimming,Injury,N
2010,Unprovoked,Usa,Florida,Surfing,No injury,N
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,No Data,Bahamas,Exuma Islands,Swimming,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",No Data
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,Unprovoked,Australia,Western Australia,Surfing,Fatal,Y
2010,Boat,Usa,California,Fishing,No injury,N
2010,Provoked,Australia,Queensland,Fishing,Injury,N
2010,Unprovoked,South Korea,Jeju Province,Swimming,Injury,N
2010,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2010,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2010,Unprovoked,Malta,No Data,Surfing,No injury,N
2010,No Data,Usa,Florida,Swimming,Injury,No Data
2010,Boat,Usa,California,Boating,No injury,N
2010,Unprovoked,Usa,Florida,Wading,Injury,N
2010,Unprovoked,Usa,South Carolina,Wading,Injury,N
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2010,Unprovoked,Usa,North Carolina,Swimming,Injury,N
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,Provoked,Spain,Grand Canary Island,Swimming,Injury,N
2010,Unprovoked,Usa,Texas,Fishing,Injury,N
2010,Provoked,Usa,Florida,Fishing,Injury,N
2010,Unprovoked,South Africa,Kwazulu-Natal,Swimming,Injury,N
2010,Provoked,Usa,New York,Fishing,Injury,N
2010,Unprovoked,Usa,California,Surfing,Injury,N
2010,Unprovoked,Usa,California,Boating,No injury,N
2010,Unprovoked,Usa,Texas,Surfing,Injury,N
2010,Unprovoked,Usa,South Carolina,Surfing,Injury,N
2010,Unprovoked,Usa,North Carolina,Swimming,Injury,N
2010,Unprovoked,Vietnam,Binh Dinh Province,Swimming,Injury,N
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,Unprovoked,Australia,Western Australia,Surfing,Injury,N
2010,Unprovoked,Usa,Florida,Surfing,Injury,N
2010,Provoked,Usa,Florida,Fishing,Injury,N
2010,Unprovoked,Vietnam,Binh Dinh Province,Rescuing,Injury,N
2010,Unprovoked,Vietnam,Binh Dinh Province,Swimming,Injury,N
2010,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2010,Unprovoked,Madagascar,Antsiranana Province,Diving,Injury,N
2010,Unprovoked,Usa,Florida,Wading,Injury,N
2010,Provoked,Usa,Florida,Measuring Sharks,Injury,N
2010,Unprovoked,Usa,Hawaii,Surfing,No injury,N
2010,Unprovoked,South Africa,Eastern Cape Province,Surfing,Injury,N
2010,Unprovoked,Egypt,Sinai Peninsula,Swimming,Injury,N
2010,Unprovoked,Reunion,Saint-Benoit,Surfing,No injury,N
2010,Unprovoked,New Zealand,South Island,Swimming,Bruised but otherwise unhurt,N
2010,Unprovoked,South Africa,Eastern Cape Province,Surfing,Injury,N
2010,Unprovoked,Fiji,Off Vanua Levu,Diving,Fatal,Y
2010,Unprovoked,Australia,Queensland,Swimming,Injury,N
2010,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2010,Provoked,New Zealand,South Island,Diving,No injury,N
2010,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2010,Provoked,Usa,Florida,Surfing,Injury,N
2010,No Data,Guam,Merizo,Diving,Shark bites were post-mortem,No Data
2010,Unprovoked,Usa,Florida,Kite Boarding,Fatal,Y
2010,Provoked,New Zealand,South Island,Surfing,Stepped on shark PROVOKED INCIDENT,N
2010,Unprovoked,Brazil,Rio Grande Do Sul,Surfing,Injury,N
2010,Unprovoked,Australia,Queensland,Surfing,No injury,N
2010,Unprovoked,United Arab Emirates (Uae),Dubai,Surfing,Injury,N
2010,Unprovoked,Australia,Victoria,Surfing,Injury,N
2010,Unprovoked,South Africa,Western Province,Wading,Fatal,Y
2010,Unprovoked,Australia,Torres Strait,Swimming,Injury,N
2010,Unprovoked,Vietnam,Binh Dinh Province,Bathing,Injury,N
2010,Unprovoked,Usa,Florida,Diving,Injury,N
2010,Unprovoked,South Africa,Eastern Province,Surfing,No injury,N
2009,Unprovoked,South Africa,Eastern Cape  Province,Wading,Injury,N
2009,Provoked,Australia,New South Wales,Swimming,Injury,N
2009,Unprovoked,Mozambique,Maputo Province,Swimming,Injury,N
2009,Boat,Australia,Queensland,Boating,No injury,N
2009,Unprovoked,Australia,Queensland,Diving,Injury,N
2009,Unprovoked,South Africa,Eastern Cape Province,Boating,Fatal,Y
2009,No Data,South Africa,Kwazulu-Natal,Surfing,Injury,No Data
2009,Unprovoked,New Zealand,South Island,Swimming,Fatal,Y
2009,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2009,Boat,Australia,New South Wales,Rowing,No injury,N
2009,Provoked,Usa,New Jersey,Diving,Injury,N
2009,No Data,Usa,California,Surfing,Injury,No Data
2009,Unprovoked,Usa,Florida,Wading,Injury,N
2009,Unprovoked,Usa,California,Fishing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Australia,South Australia,Boating,Injury,N
2009,Unprovoked,Usa,California,Surfing,No injury,N
2009,Boat,Australia,Victoria,Boating,No injury,N
2009,Unprovoked,Mozambique,Inhambane Province,Diving,Injury,N
2009,Unprovoked,Australia,New South Wales,Boating,No injury,N
2009,Unprovoked,Usa,California,Surfing,Injury,N
2009,Unprovoked,Usa,Hawaii,Surfing,Bitten on upper right thigh & right ankle,N
2009,Unprovoked,Panama,Bocas,Wading,Injury,N
2009,Provoked,Scotland,Fife,Diving,Injury,N
2009,Unprovoked,Australia,Western Australia,Diving,Injury,N
2009,Unprovoked,Usa,California,Surfing,Injury,N
2009,Provoked,United Kingdom,Devon,Fishing,Injury to forearm from shark's spine PROVOKED INCIDENT ,N
2009,Unprovoked,Usa,Florida,Swimming,Injury,N
2009,Provoked,Somalia,No Data,Fishing,Injury,N
2009,No Data,Usa,North Carolina,Swimming,Fatal,Y
2009,Unprovoked,Brazil,Pernambuco,Swimming,Fatal,Y
2009,No Data,Nevis,No Data,Swimming,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,No Data
2009,Provoked,Solomon Islands,Makira-Ulawa Province,Fishing,Injuries to face & neck PROVOKED INCIDENT,N
2009,Unprovoked,Usa,California,Surfing,No injury,N
2009,Unprovoked,South Africa,Western Cape Province,Surfing,Fatal,Y
2009,Unprovoked,Usa,California,Swimming,Injury,N
2009,Unprovoked,South Africa,Kwazulu-Natal,Surfing,No injury,N
2009,Unprovoked,Usa,Florida,Swimming,Puncture marks on left foot,N
2009,Unprovoked,Usa,Hawaii,Surfing,No injury,N
2009,Unprovoked,Usa,Louisiana,Fishing,Injury,N
2009,Unprovoked,Bahamas,Abaco Islands,Diving,Injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,Left forearm grazed & puncture marks in wetsuit,N
2009,Unprovoked,Vietnam,Binh Dinh Province,Swimming,Injury,N
2009,Unprovoked,Kenya,Mombasa,Washing His Feet,Fatal,Y
2009,Unprovoked,Usa,Texas,Wading,Injury,N
2009,No Data,Spain,Catalunya,Swimming,Injury,No Data
2009,Unprovoked,Usa,North Carolina,Swimming,Injury,N
2009,Unprovoked,Usa,Florida,Swimming,Injury,N
2009,Unprovoked,Vietnam,Binh Dinh Province,Swimming,Severe bite to right leg,N
2009,Provoked,Bahamas,No Data,Diving,Injury,N
2009,Unprovoked,Usa,California,Surfing,No injury,N
2009,Unprovoked,South Africa,Western Cape Province,Surfing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Provoked,Usa,Florida,Swimming,Injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2009,No Data,Usa,California,Surfing,Injury,No Data
2009,No Data,Usa,Florida,Crawling,Injury,No Data
2009,Provoked,Vietnam,No Data,Fishing,Injury,N
2009,Unprovoked,Egypt,St. Johns Reef,Diving,Injury,N
2009,Unprovoked,Egypt,St. Johns Reef,Diving,Injury,N
2009,Unprovoked,Egypt,St. Johns Reef,Swimming,Fatal,Y
2009,Provoked,Taiwan,Off Green Island,Fishing,Injury,N
2009,Provoked,Usa,Florida,Swimming,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Provoked,Guam,North Region,Diving,Speared shark bit his forearm PROVOKED INCIDENT,N
2009,Provoked,Bahamas,Exuma Islands,Diving,Injury,N
2009,Unprovoked,Usa,California,Surfing,No injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Philippines,Batangas Province,Swimming,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,No Data,Usa,Hawaii,Diving,Missing,No Data
2009,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2009,No Data,South Africa,Kwazulu-Natal,Swimming,Body not recovered,No Data
2009,Unprovoked,Usa,California,Diving,Injury,N
2009,Unprovoked,Usa,Florida,Wading,Injury,N
2009,Provoked,South Africa,Eastern Cape Province,Fishing,Injury,N
2009,Unprovoked,South Africa,Eastern Cape Province,Surfing,Fatal,Y
2009,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2009,Unprovoked,Usa,Florida,Surfing,Injury,N
2009,Unprovoked,Malaysia,Strait Of Malacca,Feeding Fish,Injury,N
2009,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2009,Provoked,Australia,Western Australia,Wading,Injury,N
2009,Unprovoked,New Caledonia,South Province,Surfing,Fatal,Y
2009,Provoked,South Africa,Western Cape Province,Fishing,Injury,N
2009,Boat,New Zealand,North Island,Fishing,No injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2009,Unprovoked,Australia,Queensland,Fishing,Injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,Severe injury to hand ,N
2009,Unprovoked,Australia,New South Wales,Surfing,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N
2009,Sea Disaster,Usa,Puerto Rico,Air Disaster,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y
2009,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2009,Provoked,Azores,No Data,Fishing,Injury,N
2009,Unprovoked,Cuba,Guantanamo Province,Diving,Injury,N
2009,Boat,New Zealand,North Island,Fishing,No injury,N
2009,Unprovoked,Australia,New South Wales,Swimming,Injury,N
2009,Unprovoked,South Africa,Eastern Cape Province,Swimming,Fatal,Y
2009,No Data,Brazil,Maranhão,Swimming,"Drowned, body scavenged by shark",No Data
2009,Boat,Australia,Victoria,Fishing,No injury,N
2009,Unprovoked,New Zealand,South Island,Surfing,No injury,N
2009,Unprovoked,Australia,New South Wales,Swimming,Injury,N
2009,Unprovoked,Australia,Tasmania,Surfing,Injury,N
2009,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2009,Boat,New Zealand,North Island,Fishing,No injury,N
2009,Unprovoked,Ecuador,Galapagos Islands,Surfing,Injury,N
2009,Unprovoked,New Zealand,North Island,Swimming,Injury,N
2009,Unprovoked,Cuba,Guantanamo Province,Diving,Injury,N
2008,No Data,Australia,Western Australia,Crabbing,"Reports said a shark attacked the dinghy, but Vickery said it did not",No Data
2008,Boat,Australia,Tasmania,Yacht Race,No injury,N
2008,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2008,Boat,Australia,New South Wales,Boating,No injury,N
2008,Unprovoked,Australia,Western Australia,Swimming,Fatal,Y
2008,Boat,Usa,California,Boating,No injury,N
2008,Unprovoked,New Zealand,North Island,Fishing,Injury,N
2008,Provoked,South Africa,Western Cape Province,Fishing,Injury,N
2008,Boat,Australia,New South Wales,Fishing,Shark bit boats sea anchor,N
2008,Unprovoked,Mozambique,Inhambane Province,Diving,Fatal,Y
2008,Unprovoked,Egypt,Red Sea,Diving,Injury,N
2008,Sea Disaster,Philippines,Batanes Provine,Sinking Of The Cargo Ship Mark Jason,Injury,N
2008,Boat,Australia,South Australia,Fishing,No injury,N
2008,Sea Disaster,Taiwan,No Data,Fishing,Fatal,Y
2008,Unprovoked,Philippines,Luzon,Fishing,Injury,Y
2008,Provoked,Australia,New South Wales,Diving,Injury,N
2008,Unprovoked,New Caledonia,No Data,Diving,Injury,N
2008,Provoked,Australia,Northern Territory,Fishing,Injury,N
2008,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2008,Unprovoked,Usa,Florida,Fishing,Injury,N
2008,Unprovoked,Croatia,"Split-Dalmatia Count,",Diving,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Provoked,Australia,Northern Territory,Swimming,Injury,N
2008,Unprovoked,Usa,Florida,Swimming,Injury,N
2008,Unprovoked,Usa,Hawaii,Surfing,Bitten on right thigh & calf,N
2008,Unprovoked,Usa,California,Surfing,No injury,N
2008,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Shark bumped right ankle,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2008,No Data,Usa,Hawaii,Swimming,Death was probably due to drowning,No Data
2008,Provoked,England,North Devon,Fishing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Superfical cut to left ankle,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,No Data,Usa,North Carolina,Surfing,Injury,No Data
2008,Unprovoked,Usa,Florida,Swimming,Injury,N
2008,Unprovoked,Usa,Us Virgin Islands,Treading Water,Injury,N
2008,Unprovoked,Usa,Florida,Wading,Injury,N
2008,Unprovoked,Usa,Hawaii,Diving,No injury,N
2008,Unprovoked,Australia,Victoria,Surfing,No injury,N
2008,Unprovoked,Panama,San Carlos,Surfing,Injury,N
2008,Unprovoked,Mexico,Cabo San Lucas,Swimming,Injury,N
2008,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2008,Unprovoked,Usa,North Carolina,Wading,Injury,N
2008,Unprovoked,Usa,North Carolina,Wading,Injury,N
2008,Provoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Wading,Injury,N
2008,Unprovoked,Egypt,No Data,Diving,Injury,N
2008,No Data,Usa,North Carolina,Surfing,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",No Data
2008,Unprovoked,Usa,South Carolina,Surfing,Injury,N
2008,Unprovoked,Usa,North Carolina,Swimming,Injury,N
2008,Boat,United Kingdom,Sussex,Rowing An Inflatable Dinghy,Shark leapt into & damaged the dinghy but no injury to occupants,N
2008,No Data,Usa,Hawaii,Wading,Probable drowning with post-mortem bites,No Data
2008,Unprovoked,Bahamas,Abaco Islands,Diving,Injury,N
2008,Unprovoked,South Africa,Western Cape Province,Surfing,No injury,N
2008,Unprovoked,South Africa,Western Cape Province,Diving,No injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,South Carolina,Swimming,Injury,N
2008,Unprovoked,Brazil,Bahia,Surfing,No injury,N
2008,Boat,Usa,California,Boating,No injury,N
2008,Unprovoked,Usa,Florida,Wading,Injury,N
2008,Unprovoked,Brazil,Pernambuco,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Boat,Scotland,Easter Ross,Fishing,No injury,N
2008,Unprovoked,Usa,South Carolina,Surfing,Injury,N
2008,Unprovoked,Brazil,Pernambuco,Swimming,Injury,N
2008,Unprovoked,Usa,North Carolina,Surfing,Injury,N
2008,Sea Disaster,Bahamas,Grand Bahama Island,Sea Disaster,Boat capsized in squall. 2 bodies scavenged  by sharks,N
2008,Unprovoked,Mexico,Guerro,Surfing,Injury,N
2008,Unprovoked,Mexico,Guerro,Surfing,Fatal,Y
2008,Unprovoked,Fiji,Yasawa Islands,Diving,Fatal,Y
2008,Unprovoked,Australia,Western Australia,Swimming,Injury,N
2008,Unprovoked,New Caledonia,North Province,Fishing,Injury,N
2008,Unprovoked,Usa,Florida,Wading,Injury,N
2008,Provoked,South Africa,No Data,Fishing,Injury,N
2008,Unprovoked,Mexico,Guerro,Surfing,Fatal,Y
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,New Caledonia,North Province,Swimming,Injury,N
2008,Provoked,Usa,Florida,Surfing,Injury,N
2008,Unprovoked,Usa,California,Swimming,Fatal,Y
2008,Unprovoked,Usa,Florida,Surfing,Cuts & punctures to right foot,N
2008,No Data,South Africa,Kwazulu-Natal,Diving,"As he pushd the shark away from his camera, his finger was cut on a tooth",No Data
2008,No Data,Mexico,Quintana Roo,Swimming,Probable drowning with post-mortem bites,No Data
2008,No Data,Australia,Queensland,Surfing,Injury,No Data
2008,Unprovoked,Usa,Florida,Surfing,Injury,N
